"","data_year","ori","pub_agency_name","pub_agency_unit","state_abbr","division_name","region_name","county_name","agency_type_name","population_group_desc","population","male_officer_ct","male_civilian_ct","male_total_ct","female_officer_ct","female_civilian_ct","female_total_ct","officer_ct","civilian_ct","total_pe_ct","pe_ct_per_1000","agency_full_name","agency_name"
"1",2022,"LA0260000","Jefferson",NA,"LA","West South Central","South","JEFFERSON","County","MSA counties 100,000 or over",326226,632,128,760,218,298,516,850,426,1276,3.91,"JEFFERSON PARISH SHERIFF'S OFFICE                 ","Jefferson Parish Sheriff's Office"
"2",2022,"LA0080700","Southern University and A&M College:","Shreveport","LA","West South Central","South","BOSSIER","University or College","Cities under 2,500",0,2,0,2,1,0,1,3,0,3,NA,"SOUTHERN UNIVERSITY AND A & M COLLEGE - SHREVEPORT","Southern University And A & M College - Shreveport"
"3",2022,"LA0110000","Caldwell",NA,"LA","West South Central","South","CALDWELL","County","Non-MSA counties under 10,000",9509,15,1,16,4,8,12,19,9,28,2.94,"CALDWELL PARISH SHERIFF'S OFFICE                  ","Caldwell Parish Sheriff's Office"
"4",2022,"LA0170100","Baker",NA,"LA","West South Central","South","EAST BATON ROUGE","City","Cities from 10,000 thru 24,999",12303,22,2,24,5,9,14,27,11,38,3.09,"BAKER POLICE DEPARTMENT                           ","Baker Police Department"
"5",2022,"LA0050100","Bunkie",NA,"LA","West South Central","South","AVOYELLES","City","Cities from 2,500 thru 9,999",3234,7,2,9,1,5,6,8,7,15,4.64,"BUNKIE POLICE DEPARTMENT                          ","Bunkie Police Department"
"6",2022,"LA0490500","Washington",NA,"LA","West South Central","South","ST LANDRY","City","Cities under 2,500",732,1,0,1,2,1,3,3,1,4,5.46,"WASHINGTON POLICE DEPARTMENT                      ","Washington Police Department"
"7",2022,"LA0630000","West Feliciana",NA,"LA","West South Central","South","WEST FELICIANA","County","MSA counties from 10,000 thru 24,999",15709,24,30,54,5,24,29,29,54,83,5.28,"WEST FELICIANA PARISH SHERIFF'S OFFICE            ","West Feliciana Parish Sheriff's Office"
"8",2022,"LA0100200","Lake Charles",NA,"LA","West South Central","South","CALCASIEU","City","Cities from 50,000 thru 99,999",77054,120,2,122,45,0,45,165,2,167,2.17,"LAKE CHARLES POLICE DEPARTMENT                    ","Lake Charles Police Department"
"9",2022,"LA0270000","Jefferson Davis",NA,"LA","West South Central","South","JEFFERSON DAVIS","County","Non-MSA counties from 10,000 thru 24,999",16779,81,0,81,32,0,32,113,0,113,6.73,"JEFFERSON DAVIS PARISH SHERIFF'S OFFICE           ","Jefferson Davis Parish Sheriff's Office"
"10",2022,"LA0030200","Gonzales",NA,"LA","West South Central","South","ASCENSION","City","Cities from 10,000 thru 24,999",12869,39,0,39,3,5,8,42,5,47,3.65,"GONZALES POLICE DEPARTMENT                        ","Gonzales Police Department"
"11",2022,"LA0310300","Grambling",NA,"LA","West South Central","South","LINCOLN","City","Cities from 2,500 thru 9,999",5076,6,0,6,7,5,12,13,5,18,3.55,"GRAMBLING POLICE DEPARTMENT                       ","Grambling Police Department"
"12",2022,"LA0330000","Madison",NA,"LA","West South Central","South","MADISON","County","Non-MSA counties under 10,000",3681,29,0,29,10,0,10,39,0,39,10.59,"MADISON PARISH SHERIFF'S OFFICE                   ","Madison Parish Sheriff's Office"
"13",2022,"LA0300100","Jena",NA,"LA","West South Central","South","LA SALLE","City","Cities from 2,500 thru 9,999",3760,6,0,6,0,1,1,6,1,7,1.86,"JENA POLICE DEPARTMENT                            ","Jena Police Department"
